id;documento
1;A Inteligência Artificial, que você vai ver por aí sendo citada apenas como IA (ou AI, de artificial intelligence), é um avanço tecnológico que permite que sistemas simulem uma inteligência similar à humana — indo além da programação de ordens específicas para tomar decisões de forma autônoma, baseadas em padrões de enormes bancos de dados.
2;Inteligência artificial é a capacidade de dispositivos eletrônicos de funcionar de maneira que lembra o pensamento humano. Isso implica em perceber variáveis, tomar decisões e resolver problemas. Enfim, operar em uma lógica que remete ao raciocínio.
3;Uma solução de IA envolve um agrupamento de várias tecnologias, como redes neurais artificiais, algoritmos, sistemas de aprendizado, entre outros que conseguem simular capacidades humanas ligadas à inteligência. Por exemplo, o raciocínio, a percepção de ambiente e a habilidade de análise para a tomada de decisão.
4;Inteligência artificial (IA) é uma tecnologia programada para simular a inteligência humana e, assim, ter algum nível de autonomia para tomar decisões e resolver problemas lógicos.
5;A inteligência artificial é um ramo de pesquisa da ciência da computação que busca, através de símbolos computacionais, construir mecanismos e/ou dispositivos que simulem a capacidade do ser humano de pensar, resolver problemas, ou seja, de ser inteligente.
6;A inteligência artificial é um campo da ciência preocupado com a criação de computadores e máquinas que podem raciocinar, aprender e atuar de maneira que normalmente exigiria inteligência humana ou que envolvia dados com escala maior que as pessoas podem analisar. 
7;"Na tecnologia, a Inteligência Artificial (de sigla: IA; do inglês: Artificial Intelligence, de sigla: AI) é a inteligência demonstrada por máquinas ao executar tarefas complexas associadas a seres inteligentes, além de também ser um campo de estudo acadêmico, no qual o principal objetivo é de executar funções de modo autônomo."
8;"A Inteligência Artificial (IA) é um conceito da tecnologia moderna que pressupõe uma ""inteligência"" protagonizada por máquinas — aqui, podemos incluir computadores, celulares, tablets, plataformas de internet, sistemas industriais e até pequenos objetos eletrônicos."
9;A Inteligência Artificial (IA) é a simulação da inteligência humana por meio de máquinas, permitindo que elas realizem tarefas que normalmente exigem o esforço humano, como aprendizado, raciocínio e tomada de decisões. 
10;A Inteligência Artificial (IA) é um ramo da ciência da computação que lida com a simulação de comportamento inteligente em computadores e a capacidade de um máquina em imitar o comportamento humano inteligente.
